,description,target
443,żywienie człowieka ocena żywności studia charakterze przyrodniczym elementami nauk konsumenckich kształcenia uwzględnia aspekty techniczne technologiczne ekonomiczne organizacyjne dotyczące żywienia pojedynczych osób różnych grup populacyjnych dzieci młodzieży osób dorosłych osób starszych osób zwiększonej aktywności fizycznej kobiet ciąży karmiących piersią studenci uzyskują wiedzę umiejętności dotyczące znaczenia racjonalnego żywienia zachowaniu zdrowia poznają metody sposoby przetwarzania utrwalania przechowywania analizy kontroli jakości produktów spożywczych zasady funkcjonowania rynku żywności istotę żywnościowego zachowań konsumentów studia realizowane systemie dwustopniowym wybrane przedmioty programie studiów żywienie człowieka ocena żywienia racjonalizacja żywienia podstawy dietetyki analiza żywności analiza sensoryczna towaroznawstwo żywności przetworzonej żywność funkcjonalna wygodna ekologiczna wyposażenie zakładów żywienia projektowanie technologiczne zakładów przemysłu spożywczego higiena żywności systemy zapewnienia bezpieczeństwa zdrowotnego żywności badania marketingowe zachowania konsumentów rynku żywności ochrona konsumenta etyka łańcuchu żywnościowym studia przewidziane osób zainteresowanych naukami przyrodniczymi szczególności aspektami związanymi odżywianiem oceną jakości produktów żywieniowych doborem składników analizą jakościową procesie rekrutacji uwzględniany przedmiot spośród biologia chemia matematyka,żywienie
444,studia kierunku żywienie zwierząt wyposażają studenta wiedzę zakresu pokrywania potrzeb pokarmowych zwierząt podstawie znajomości fizjologii procesów biochemicznych efektów produkcyjnych studenci zdobywają przygotowanie efektywnego bilansowania składu pasz poznają technologie wytwarzania zastosowania zróżnicowanych systemów szeroko pojętej produkcji zwierzęcej studia kierunku odpowiedzią potrzeby kadrowe rynku rolnego wytwórni pasz producentów dodatków paszowych podmiotów świadczących usługi doradcze eksperckie rzecz produkcji zwierzęcej studia przygotować teoretycznie praktycznie temu służą praktyki staże odbywane wytwórniach pasz studia ii stopnia prowadzone trybie stacjonarnym programie studiów znajdziemy przedmioty anatomia histologia regulacja czynności układu pokarmowego bromatologia elementami toksykologii mikrobiologia przewodu pokarmowego specjalistyczna analityka chemiczna pasz metody optymalizacyjne bilansowaniu mieszanek paszowych profilaktyka chorób metabolicznych diagnostyka statusu metabolicznego żywienie zwierząt hodowlanych prawo hodowli zwierząt proekologiczne metody chowu zwierząt kierowanie przedsiębiorstwem marketing organizacja przedsiębiorstw studia kierunku propozycja absolwentów studiów pierwszego stopnia kierunkach zootechnika rolnictwo tytułem zawodowym inżyniera pragnących kontynuować kształcenia obszarze nauk rolniczych rekrutacja studia odbywa oparciu średnią ocen kończących przedmioty studiów pierwszego stopnia oceny końcowej ocena dyplomie rozmowę szczegółowe wymagania rekrutacyjne dostępne stronie uczelni prowadzącej kierunek,żywienie
445,międzykierunkowe studia administracji zarządzaniu okazja zdobycia wiedzy umiejętności oferują kierunki administracja pozwala zgłębienie wiedzy dotyczącej społecznej gospodarczej sfery życia publicznego zapoznanie regulacjami prawnymi praktycznym zastosowaniem kolei zarządzanie wyposaży studentów wiedzę dotyczącą funkcjonowania współczesnych przedsiębiorstw instytucji gospodarczych administracyjnych pozwoli posiąść umiejętność kierowania organizacjami różnych typów studenci realizujący studia makrokierunku administracja zarządzanie poznają zarządzanie projektami zarządzanie zasobami ludzkimi informatykę zarządzaniu marketing rachunkowość finansową finanse przedsiębiorstw prawoznawstwo konstytucyjny system organów państwa postępowanie administracyjne publiczne prawo gospodarcze podstawy prawa cywilnego umowami administracji prawo pracy prawo urzędnicze finanse publiczne prawo finansowe ustrój samorządu terytorialnego prawo ustrojowe unii europejskiej prawo zamówień publicznych techniki negocjacji mediacji administracji podstawy prawa karnego prawa wykroczeń kierunki administracyjne dobra propozycja osób dokładnych cierpliwych uporządkowanych systematycznych zasady rekrutacji należy sprawdzać stronach internetowych uczelni realizującej studia,administracja
446,studia kierunku administracja zarządzanie ochronie zdrowia zapewnić absolwentom wiedzę zakresu nauk ekonomicznych medycznych kierunek daje wiedzę problemach zdrowia publicznego systemu opieki zdrowotnej polityki zdrowa polsce unii europejskiej program studiów obejmuje elementy nauk medycznych nauk społecznych propozycja swoją przyszłość wiążą sektorem zdrowia opieki pacjentem zarządzania placówkami leczniczymi zasady rekrutacji należy sprawdzać stronach internetowych uczelni realizującej studia kierunku,administracja
447,studia kierunek ii stopnia kształtujący umiejętności administrowania zarządzania zespołami ludzkimi uczelnie oferują następujące specjalizacje ukończenie kierunku pozwala znaleźć miejsce dużych organizacjach biznesowych średnich małych przedsiębiorstwach własnym mikroprzedsiębiorstwie ukończone studia wyższe zakresie atutem administracji publicznej postępowaniach konkursowych wszelkich indywidualnych aplikacjach liczne specjalności pozwalają utworzyć indywidualny tok nauczania każdego studenta kierunek przebojowych dynamicznych osób boją kontaktu innymi ludźmi umieją nawiązywać dobre relacje interpersonalne wykazują asertywnością studia ii stopnia rekrutacji potrzebny dyplom ukończenia studiów stopnia kierunków pokrewnych,administracyjno-ekonomiczne
448,agrobiznes kierunek interdyscyplinarny łączy zagadnienia techniczne rolnicze biznesowe umożliwia zdobycie najnowszej wiedzy zakresu prowadzenia gospodarstwa rolnego firm sektora rolniczego studenci uczą konkurować rynku wytworzonymi produktami sprawić konkurencyjne szacować ryzyko biznesie studia kierunku agrobiznes studia stacjonarne inżynierskie magisterskie przeznaczone osób chcą poprowadzić gospodarstwo rolnicze studenci uzyskują wiedzę zakresu technologii produkcji produktów rolniczych przetwórstwa procesów stworzenia produktu finalnego konsumentów sposobów tworzenia funkcjonowania klastrów agrobiznesowych kreowanych korzyściach społecznych przyrodniczych ekonomicznych kształtowania konkurencyjności produktów gospodarstw przedsiębiorstw uwzględnieniu strategicznego ryzyka przykładowe przedmioty programie studiów rachunkowość agroprzedsiębiorstw komunikacja biznesie agroekonomia chemia rolna chów zwierząt ekonomika rolnictwa genetyka hodowla nasiennictwo gleboznawstwo fizjologia roślin elementami biochemii analiza finansowa przedsiębiorstwa zarządzanie przedsiębiorstwem agrobiznesie funkcjonowanie małych średnich przedsiębiorstw agrobiznesie rolnictwo precyzyjne optymalizacja procesów produkcji studia agrobiznesie odpowiednie osób zamiłowaniu nauki przedmiotów przyrodniczych obszaru rolnictwa jednocześnie przyszłych menedżerów branży rolniczej konieczne zatem predyspozycje przedsiębiorczość swoboda analitycznego myślenia zaradność łatwość podejmowania decyzji dobra komunikatywność umiejętność pracy grupie rekrutacja odbywa oparciu wyniki maturalne języka polskiego języka obcego jednego przedmiotu wybranego spośród biologia matematyka chemia fizyka astronomia informatyka geografia wiedza konkretnie przedmioty punktowane wybranej uczelni należy sprawdzać serwisach rekrutacyjnych,agrobiznes
449,studia kierunku analityka biznesu oferują unikalne połączenie wiedzy zakresu prowadzenia biznesu umiejętnością analizy danych pomocą nowoczesnych narzędzi ilościowych jakościowych zajęcia odbywają wykorzystaniu nowoczesnych metod dydaktycznych symulacji komputerowych konwersatoriów prowadzonych pracowników wydziału zarządzania praktyków gospodarczych studia przygotowują przeprowadzania wszechstronnych analiz biznesowych dotyczących bieżącej sytuacji przedsiębiorstwa perspektyw rozwojowych analizy sytuacji finansowej pozycji rynkowej umiejętności niezbędne podejmowanie właściwych decyzji operacyjnych strategicznych firmach szeroko pojęta analiza biznesowa znajduje zastosowanie każdej firmie zarówno przedsiębiorstwie rodzinnym spółce giełdowej studia dwustopniowe wybrane przedmioty programie studiów matematyka statystyka zarządzaniu ekonomia podstawy działalności biznesowej narzędzia informatyczne zarządzaniu wprowadzenie finansów rachunkowości analiza finansowa przedsiębiorstwa analizy marketingowe planowanie finansowe metody optymalizacyjne zarządzaniu przygotowanie biznes planu studia wybierają osoby predyspozycjach analitycznych mających swobodę wnioskowania podstawie danych liczbowych rekrutacji uwagę brane przedmioty język obcy matematyka geografia wos historia informatyka fizyka biologia chemia,analityka
450,studia kierunku analityka danych ekonomicznych kładą nacisk rozwój kompetencji analitycznych odniesieniu danych ilościowych jakościowych wykorzystanie oceny polityk publicznych przedsięwzięć biznesowych kształcenie umiejętności komunikowania wyników analiz program kształcenia kierunku przyporządkować pięciu bloków tematycznych rozwijane ramach kierunku kompetencje przydatne zawodach niezbędne umiejętności analitycznego myślenia stosowania metod badawczych marketingu konsultingu analizie biznesowej doradztwie gospodarczym publicystyce ekonomicznej akademicko zorientowanej części studentów kierunek przygotowaniem podjęcia studiów szkole doktorskiej zagadnienia programowe przewidziane kierunku blok badawczy metody ilościowe przykładowe przedmioty statystyka stosowana analiza danych r badania ankietowe blok badawczy metody jakościowe badania fokusowe wywiady pogłębione studium przypadku analiza dokumentów blok ewaluacji quantitative evaluation methods blok polityk xxi wieku problemy krajów rozwijających międzynarodowe stosunki gospodarcze blok komunikacyjny wystąpienia publiczne techniki prezentacji wizualizacji danych widzisz swoją zawodową przyszłość marketingu konsultingu analizie biznesowej doradztwie gospodarczym publicystyce ekonomicznej pokrewnych obszarach kierunek zainteresować szczegółowe zasady naboru studia należy sprawdzać stronie www uczelni,analityka
451,studenci analityki danych biznesie zdobywają wiedzę zakresu statystyki matematyki informatyki ekonomii zarządzania uczą przeprowadzać analizy prezentować wyniki wykorzystując arkusze kalkulacyjne np microsoft excel pakiety programistyczne analityki biznesowej np microsoft power bi nabywają umiejętności programistyczne językach python r sql potrafi służące rozwiązywaniu problemów związane zbieraniem gromadzeniem przetwarzaniem analizą danych absolwent przygotowani pracy relacyjnymi nierelacyjnymi bazami danych potrafią wykorzystywać narzędzia sztucznej inteligencji uczenia maszynowego uczenia głębokiego wybrane przedmioty programie studiów programowanie języku python język r język sql arkusz kalkulacyjny narzędzia business intelligence eksploracja danych big data systemy informacji geograficznej algorytmy sztucznej inteligencji zarządzanie przedsiębiorstwem zarządzanie popytem mapowanie procesów biznesowych badania operacyjne modelowanie prognozowanie ekonometryczne analiza danych sondażowych eksperymentalnych analiza danych badaniach rynkowych marketingowych analiza danych ekonomii analiza danych medycynie kandydaci kierunek posiadać umiejętności matematyczne programistyczne zdolności analityczne chęć doskonalenia swoich umiejętności wyróżniać komunikatywnością zdolnością pracy zespole kreatywnością wytrwałością rekrutacja obejmuje przedmioty język obcy nowożytny wyboru chemia fizyka matematyka informatyka,analityka
452,studia kierunku analityka gospodarcza kształcą specjalistów posługujących zaawansowanymi metodami przygotowywaniu analiz stanowić podstawę podejmowania ważnych decyzji gospodarczych studenci zdobywają umiejętności zakresie analitycznego podejścia rozwiązywania problemów gospodarczych zastosowaniem nowoczesnych metod ilościowych technik informatycznych uczą efektywnego wykorzystywania wewnętrznych zewnętrznych informacji rynkowych monitorowania optymalizowania procesów biznesowych podstawie analizy danych prognozowania zjawisk sferze otoczenia przedsiębiorstwa posługiwania formalnymi metodami analiz ilościowych technikami informatycznymi podejmowania ważnych decyzji gospodarczych przewidywania skutków dzięki odpowiednim prognozom ekonomicznym przykładowe specjalności kierunku analityka gospodarcza przedmioty przewidziane programie studiów matematyka statystyka zarządzanie finanse rachunkowość ekonometria badania operacyjne analiza danych wielowymiarowych analiza decyzji algebra liniowa technologie informacyjne bazy danych zarządzanie wynikami arkusz kalkulacyjny analizie danych podstawy logicznego wnioskowania modelowanie danych rynkowych inwestycje rynkach finansowych badania ankietowe narzędzia komputerowe analizie danych metody analizy strategicznej studia analityce gospodarczej przewidziane przyszłych analityków zajmujących prowadzeniem badań zakresu zjawisk rekrutacja analitykę gospodarczą odbywa podstawie wyników uzyskanych maturze przedmiotów wskazanych uczelnię najczęściej matematyka geografia informatyka wos historia fizyka język kandydaci wskazują trzy przedmioty często wyżej punktowany wynik poziomu należy wcześniej sprawdzić szczegółowe wymogi kwalifikacyjne obowiązujące danym,analityka
453,studia interdyscyplinarnym kierunku analityka komunikacja biznesie celu wyposażyć słuchaczy wiedzę zakresu różnych dyscyplin naukowych np ekonomii socjologii umiejętności związanych analizą zjawisk absolwent kierunku analityka komunikacja biznesie posiada wiedzę praktyczne umiejętności zakresu analizy ryzyka analizy finansowej analizy opinii publicznej statystycznej obróbki danych obsługi programów komputerowych biznesie umie diagnozować zachodzące różnych kontekstach procesy komunikacyjne potrafi konstruować efektywną politykę komunikacyjną organizacjach różnego typu studia trwają semestrów kończą uzyskaniem tytułu zawodowego licencjata wybrane przedmioty toku studiów ekonomia społeczna podstawy prawa podstawy zarządzania podstawy socjologii zarządzanie zasobami ludzkimi techniki kreatywnego myślenia podstawy rachunkowości socjologia mediów metody wizualne problemy etyczne biznesie makroekonomia psychologia społeczna mikroekonomia kultura wielokulturowość biznesie psychologia reklamy raportowanie audyt społeczny raportowanie finansowe analiza rynków finansowych rachunkowość zarządcza metody badań jakościowych metody badań ilościowych finanse przedsiębiorstw metodologia nauce komunikacja społeczna kandydat kierunek analityka komunikacja biznesie potrafić pracować grupie identyfikować rozwiązywać problemy społeczne gospodarcze kreatywny przedsiębiorczy dodatkowo umieć myśleć analitycznie przewidujący rekrutacja odbywa oparciu wyniki uzyskane maturze języka obcego nowożytnego przedmiotów wskazanych uczelnię kandydaci wybierają przedmiot spośród język polski matematyka warto sprawdzić szczegółowe wymogi kwalifikacyjne obowiązujące danym,analityka
454,kierunek analiza biznesowa data science interdyscyplinarne studia analityki ekonomicznej łączące zagadnienia ekonomii informatyki zarządzania studia unikalny łączą znajomość zagadnień biznesowych wysokimi umiejętnościami technologicznymi kierunek kształci nowoczesnych analityków danych świetnie radzą technologią ukierunkowani wykrywanie rozwiązywanie istotnych kwestii biznesowych matematycy informatycy badacze trendów jednym analizują przetwarzają modelują dane następnie interpretują wizualizują wyniki stworzyć plany działania firm trakcie studiów nauczysz przykładowe przedmioty podstawy programowania data science python podstawy matematyczne data science podstaw statystyki opisowej językiem r analiza matematyczna rachunek prawdopodobieństwa statystyka matematyczna bazy danych sql nosql programowanie zaawansowane big data przetwarzanie danych ekonomicznych eksploracja danych tekstowych text mining podstawy uczenia maszynowego sieci neuronowe uczenie głębokie wizualizacja danych zasady naboru studia sprawdź stronie internetowej uczelni,analiza
455,studia kierunku angielski język biznesu celu wyposażyć kompetencje komunikacyjne zakresie języka ogólnego specjalistycznego celów pośredniczenia międzynarodowych kontaktach gospodarczych handlowych specyfika programu nauczania kierunku sprzyja zdobyciu wysokich kwalifikacji merytorycznych związanych biegłym opanowaniem języka angielskiego szczególnym uwzględnieniem aspektu biznesowego nabyciem umiejętności dziedzinie międzykulturowej komunikacji biznesowej absolwent kierunku angielski język biznesu zdobędzie wiedzę dotyczącą ekonomii prawa mechanizmów życia gospodarczego zwłaszcza kontekście globalizacji międzynarodowych kontaktów gospodarczych handlowych niezwykle cenną umiejętnością kompetencje zakresie kultury uwrażliwienie różnice międzykulturowe szczególnym uwzględnieniem sfery biznesu negocjacji handlowych studia trwają semestrów kończą uzyskaniem tytułu zawodowego licencjata programie studiów znajdują laboratoria mające celu obszerne przygotowanie filologiczne każdego studenta skład zajęć wchodzą gramatyka praktyczna fonetyka praktyczna słuchanie pisanie konwersacje translatoryka praktyczna pisanie wstęp językoznawstwa język biznesu realioznawstwo krajów anglojęzycznych mikroekonomia język prawa wprowadzenie przekładu tekstów ogólnych praktyczne zastosowania języka angielskiego organizacjach technologie komputerowe tłumaczy negocjacje wystąpienia publiczne komunikacji interkulturowej globalizacja gospodarcza wprowadzenie tłumaczenia ustnego kulturowe podstawy przekładu pragmatyka zawodu tłumacza angielski język biznesu kierunek osób chcą ograniczać jednej ścieżki edukacyjnej kierunek osób chcących spełniać zawodach równoległe studiować język angielski naciskiem wykorzystanie biznesie rekrutacja odbywa oparciu wyniki uzyskane maturze przedmiotów wskazanych uczelnię wybierając konkretną uczelnię należy wcześniej sprawdzić szczegółowe wymogi kwalifikacyjne obowiązujące danym,angielski
456,studia kierunku aplikacje internetu rzeczy obejmują zagadnienia takich obszarów ekonomia koncentrując nowoczesnych rozwiązaniach funkcjonowania firmy ramach elektronicznej gospodarki opartej wiedzy nauki ścisłe zakresie nowoczesnych metod zbierania przetwarzania danych otoczenia technika zakresie najnowszych technologii zastosowań praktycznych obecnie coraz urządzeń zostać połączonych siecią działają współczesne telefony kamery czujniki ruchu stacje pogodowe zmywarki pojazdy maszyny przemysłowe studenci kierunku aplikacje internetu rzeczy uczą budować sieci komputerowe sieci automatyki projektować złożone aplikacje internetu rzeczy tworzyć nowe rozwiązania ramach rzeczywistości rozszerzonej rzeczywistości wirtualnej poznają metody narzędzia informatyczne niezbędne funkcjonowania małej firmy nowoczesnej gospodarce absolwenci potrafią posługiwać narzędziami technologiami informatycznymi analizy projektowania wdrażania pielęgnacji systemów studia realizowane poziomie drugiego stopnia specjalności dostępne kierunku przedmioty realizowane trakcie studiów firma internecie programowanie sieci automatyki domotyki aplikacje multimedialne internet przyszłości internet rzeczy interfejs analiza projektów teleinformatycznych kierunek przewidziany absolwentów studiów pierwszego stopnia przyjęciu studia decyduje średnia ocen studiów wyższych ocena dyplomie wynik rozmowy kwalifikacyjnej zakresu ogólnej wiedzy informatycznej szczególności wiedzy internecie,aplikacje
457,audyt finansowy unikatowy kierunek studiów ii stopnia pięciosemestralny ukończeniu otrzymuje tytuł biegłego rewidenta osoby upoważnionej kontrolowania działalności instytucji program kierunku studiów audyt finansowy zgodny zakresem merytorycznym egzaminów biegłego rewidenta dzięki absolwent kierunku uzyskują zwolnienia dziesięciu egzaminów pisemnych postępowaniu kwalifikacyjnym kandydatów biegłych rewidentów obejmuje wiedzę zakresu rachunkowości rewizji finansowej szeroko rozumianych finansów prawa gospodarczego ekonomii matematyki elementami statystyki etyki zawodowej studenci ukończą kierunek audyt finansowy posiadać wiedzę niezbędną każdego pracownika podmiotu gospodarczego podlegającego ustawie rachunkowości zdobędą gruntowne wykształcenie zapewniające istotną przewagę współczesnym rynku pracy szczególności uzyskają wiedzę ekonomicznych zarządczych finansowych prawnych aspektach prowadzenia działalności gospodarczej różnych jednostek uzyskają umiejętności zakresu rachunkowości rewizji finansowej finansów przedsiębiorstw począwszy pomiaru dokumentowania operacji gospodarczych poprzez ewidencję sporządzanie sprawozdań finansowych badanie analizy sytuacji finansowej podmiotu będącej bazą podejmowania decyzji jednostkach gospodarczych program kierunku umożliwia rozwój posiadanych zdolności poprzez dalsze samokształcenie pozwoli absolwentom ciągłe podnoszenie swoich kwalifikacji program studiów kierunku audyt finansowy obejmuje przedmioty prawo karne skarbowe kontrola audyt wewnętrzny rewizja finansowa teoria zasady rachunkowości finanse lokalne finanse gospodarstw domowych zaawansowane zagadnienia matematyki finansowej polityka pieniężną technologie informacyjne system komputerowe wykorzystywane rachunkowości audyt ekologiczny rachunkowość organizacji pozarządowych sprawozdawczość finansowa jednostek gospodarczych analiza sprawozdań finansowych konsolidacja sprawozdań finansowych podatki bezpośrednie pośrednie pomoc publiczna ordynacja podatkowa zarządzanie finansami banków instytucji kredytowych rynki inwestycje finansowe zarządzanie finansami jednostek gospodarczych studia wybierają osoby chcą zajmować finansami zarządzaniem studia drugiego stopnia zostać przyjęta osoba posiada dyplom ukończenia studiów przyjęcia studia odbywają podstawie średniej ocen egzaminu wstępnego,audyt
458,kierunek bachelor in business administration skrócie bba zaznajamia studentów podejmowaniem ekonomicznych biznesowych decyzji zglobalizowanym świecie uczy zarządzania różnymi organizacjami zakątkach świata zapoznaje różnymi kulturami studia prowadzone całości angielsku uczelnia oferuje specjalizacje przedmioty jakimi przyjdzie zmierzyć studentom bba mathematics microeconomics elements of law fundamentals of finance computer information system in business fundamentals of management academic discourse and study skills organizational behavior financial accounting macroeconomics statistics for business economics fundamentals of marketing principles of corporate finance managerial accounting international strategic management international economic relations digital marketing in international marketplace elective course exporting and importing market research foreign market entry and growth entrepreneurship and innovation foreign language geopolitics consumer culture and marketing international economic relations principles of corporate finance comparative political economy international development sociology geoeconomics business politics and society market research elective course cultural diversity and customer behavior international trade advanced course applied project management applied quantitative methods with r business financing business plan essentials international human resource management leadership in business sustainability in business and economics idealny kandydat studia bachelor in business administration mówić angielsku odpowiedzialny przejawiać zainteresowania różnymi kulturami pracy rekrutacji należy przywiązywać największą wagę wyników matury języka obcego matematyki niezbędna znajomość języka angielskiego poziomie najmniej,bachelor
459,biznes administracja podstawowych kierunków studiów okołofinansowych uniwersytet wrocławski proponuje zgłębianie treści tematycznych angielsku ramach anglojęzycznego kierunku bachelor of business and administration wybrać jedną trzech specjalizacji polaków kierunek płatny przykładowe przedmioty wykładane ramach kierunku podstawy państwa prawa podstawy mikroekonomii wprowadzenie prawa międzynarodowego publicznego podstawy metod ilościowych publiczne prywatne organizacje polityka ekonomiczna integracja europejska argumentacja krytyczne myślenie współczesne kultury prawne podstawy makroekonomii wprowadzenie finansów podstawy prawa cywilnego handlowego administracja publiczna polityka administracyjna podstawy zarządzania zarządzanie strategiczne prawo prywatne międzynarodowe ekonomia ue logika ekonomistów podstawy arytmetyki finansowej podstawy rachunkowości wprowadzenie prawa ue wprowadzenie prawa karnego opodatkowanie biznesu zarządzanie innowacjami biznesie ochrona konsumentów ue karne aspekty obrotu gospodarczego biznes europejski ochrona danych informacji biznesie analiza finansowa finanse przedsiębiorstw wprowadzenie prawa finansowego rynki instytucje finansowe kierunek osób posiadających najmniej podstawową wiedzę zjawiskach prawnych politycznych ekonomicznych społecznych okazji doskonale mówiących języku angielskim warunkiem przyjęcia studia zaświadczenie znajomości języka angielskiego poziomie przynajmniej,bachelor
460,kierunku bankowość finanse cyfrowe studenci kształcić takich dziedzin bankowość finanse przedsiębiorstw rynki produkty finansowe rachunkowość analiza finansowa gospodarka cyfrowa techniki informatyczne atutem kierunku unikatowy interdyscyplinarny program kształcenia łączący kwalifikacje zakresu finansów kompetencjami cyfrowymi oferowane specjalności wybrane przedmioty programie kształcenia bankowość finanse przedsiębiorstw rynki produkty finansowe rachunkowość analiza finansowa gospodarka cyfrowa techniki informatyczne struktury danych algorytmy zarządzanie projektem bankowość finanse cyfrowe propozycją przyszłych finansistów samym osób predyspozycjach analitycznych matematycznych rekrutacja odbywa oparciu wyniki maturalne języka obcego wyboru matematyki informatyki,bankowość
461,kierunek drugiego stopnia bankowość zarządzanie ryzykiem umożliwia zdobycie solidnych podstaw teoretycznych praktycznej wiedzy zakresu funkcjonowania instytucji finansowych skali makro mikroekonomicznej studia przygotowują wysoko wykwalifikowanych pracowników pracy bankach firmach ubezpieczeniowych pośrednictwa finansowego analityków posiadających umiejętności szacowania ryzyka przeprowadzanych operacji finansowych sposobów ograniczania oferowane specjalności absolwenci kierunku studiów znaleźć zatrudnienie bankach instytucjach finansowych funduszach inwestycyjnych spółkach konsultingowych domach maklerskich korporacjach międzynarodowych wybrane przedmioty specjalności zakresu bankowości zaawansowanej bankowość inwestycyjna project finance cyberbezpieczeństwo innowacyjne produkty bankowości komercyjnej prawo gospodarcze bankowe rachunkowość instytucji finansowych ryzyko bankowości komercyjnej zarządzanie ryzykiem metody aktuarialne modelowanie predykcyjne finansach ubezpieczeniach optymalizacja decyzji zarządzaniu prawna ochrona konsumenta rynku bankowym ubezpieczeniowym zarządzanie ryzykiem podmiotach gospodarczych zarządzanie ryzykiem zakładach ubezpieczeń odpowiedni kandydat studia bankowości zarządzania ryzykiem osoba skrupulatna rzetelna utalentowana matematycznie oczekująca życia stabilizacji płatnego zawodu bankowość zarządzanie ryzykiem studia drugiego stopnia zatem rekrutacji liczy dyplom studiów pierwszego stopnia pokrewnych kierunków przyjęcia odbywają podstawie średniej ocen egzaminu wstępnego,bankowość
462,kształcenie kierunku bioeconomy realizowane języku angielskim studiów kierunku studenci zdobywają wiedzę zakresu biogospodarki wykwalifikowani wykładowcy przekażą studentom wiedzę niezbędnych zagadnień związanych bioeconomy zakres kształcenia obejmuje zasady biogospodarki systemy bioodnawialne podstawy rysunku technicznego zasady programowania chemię bioorganiczną absolwent zna techniki projektowania graficznego komputerowego posługuje narzędziami gis stosowanymi biogospodarce posiada umiejętności doboru materiałów urządzeń technologii stosowanych biogospodarce dzięki innowacyjności interdyscyplinarności kierunku absolwent bioeconomy przygotowany bieżące zapotrzebowanie rynku pracy absolwent posiada niezbędną wiedzę tworzenia prowadzenia firm podjęcia pracy sektorze bioprzemysłu biorafineriach przedsiębiorstwach związanych szeroko pojętą zrównoważoną gospodarką laboratoriach analitycznych badawczych diagnostycznych centrach organizacjach pozarządowych zajmujących biogospodarką przedsiębiorstwach zajmujących produkcją magazynowaniem transportowaniem dystrybucją bioproduktów pierwszym studiów student zdobywa wiedzę przedmiotów ogólnych takich ekonomia chemia matematyka statystyka zakres kształcenia obejmuje zagadnienia stanowiące wstęp bioeconomy zasady biogospodarki systemy bioodnawialne podstawy rysunku technicznego ponadto zasady programowania umożliwią zaznajomienie podstawami programowania języku python bioeconomy kierunek studiów osób zainteresowanych zrównoważonym rozwojem takich odpowiedzialne podejście biznesu zjawiskiem istotnym dzisiejszych czasach nauki niezbędną wiedzą studenci zdobywają praktycznych umiejętności zastosowania zasady rekrutacji studia języku angielskim tożsame zasadami rekrutacji studiów języku polskim danym przypadku kierunku przedmioty rekrutacyjne wyboru biologia chemia fizyka matematyka geografia informatyka kandydat posługiwać językiem angielskim poziomie min potwierdzenie znajomości języka angielskiego zostać uznane poprzez egzamin maturalny języka angielskiego poziomie rozszerzonym ramach nowej matury wynik poziomie najmniej posiadanie świadectwa dyplomu innego dokumentu potwierdzającego ukończenie zagranicą szkoły ponadpodstawowej wyższej zajęcia prowadzonew języku angielskim dyplom matury międzynarodowej international baccalaureate diploma dyplom matury europejskiej european baccalaureate diploma posiadanie jednego certyfikatów potwierdzających znajomość języka angielskiego cambridge first advanced proficiency wcześniej fce cae cpe toefl ielts poziomie najmniej kandydaci krajów językiem urzędowym język angielski zwolnieniz obowiązku przedstawienia certyfikatów ocen języka angielskiego,bioeconomy
463,biznes chemiczny studia kierunek profilu celem studiów przygotowanie specjaalistów szeroko pojętej branży chemicznej zarówno dużych zakładach wytwórczych sektor chemiczny petrochemiczny farmaceutyczny agrochemiczny spożywczy małych średnich przedsiębiorstwach produkcja kosmetyków środków czystości środków ochrony roślin przetwórstwo metali odpadów biznesowe elementy wykształcenia umożliwiają absolwentom sprawne zakładanie prowadzenie małych firm działających zakresie chemii stosowanej obejmowanie stanowisk menadżerskich przedsiębiorstwach uzyskują samym znaczącą przewagę rynku pracy stosunku osób typowym wykształceniem inżynierskim menadżerskim dysponując kompetencjami zarówno jednego drugiego obszaru wiedzy absolwenci biznesu chemicznego dysponować kompetencjami zakresu oprócz wiedzy typowo inżynierskiej zakresu chemii technologii chemicznej absolwent specjalistą zakresie ekonomiki zarządzania małych średnich przedsiębiorstw projektowania finansowania część zajęć prowadzona doświadczonych specjalistów otoczenia gospodarczego duży nacisk programie studiów położony praktyki zawodowe przykładowe przedmioty programie studiów chemia ogólna chemia kwantowa chemia organiczna kreatywność biznesowa chemia analityczna biochemia technologia chemiczna marketing spektroskopia chemiczna chemometria chemia żywności chemia leków zarządzanie ludźmi małej firmie analiza przemysłowa surowce przemyśle chemicznym kandydaci studia łączyć zainteresowania obszaru nauk chemicznych predyspozycje nauki przedmiotów ścisłych kompetencjami menedżerskimi przydatna umiejętność pracy zespole dobra organizacja przedsiębiorczość kreatywność oporność stres podstawą rekrutacji konkurs świadectw obejmujący przedmioty język obcy matematyka chemia przedmiot wybrany spośród biologia fizyka geografia,biznes
