target,description
sztuka ogrodowa,sztuka ogrodowa wiedza którą perfekcji przyswoili projektanci barokowych pałaców otaczających terenów zagadnienia sztuki ogrodowej obejmują projektowanie ogrodów założeń parkowych pielęgnację zieleni dobór właściwych roślin odmian danego terenu warunków klimatycznych panujących łączenia architektury zieleni pozostawały harmonii studenci kierunku sztuka ogrodowa zdobywają wiedzę umiejętności zakresie nauk ogrodniczych technicznych plastycznych poznają przyrodnicze uwarunkowania metody techniki materiały projektowania budowy pielęgnacji ogrodów różnej skali ogrodów przydomowych publicznie użytkowane przestrzenie ponadto otrzymują wiedzę zdobywają umiejętności niezbędne zakładania utrzymania prowadzenia nadzoru terenami zieleni poziomie praktycznym biznesowym normatywnym przygotowani inwentaryzacji waloryzacji zasobów roślinnych niezbędna znajomość zasad projektowania sprawne posługiwanie technikami rysunkowymi programami komputerowymi programie studiów znaczące miejsce zajmuje kształcenie praktyczne inżynierskie studenci zdobywają umiejętności pracowniach projektowych wyposażonych nowoczesne programy komputerowe obiektach szklarniowych laboratoriach wyposażonych nowoczesną aparaturę pomiarową trakcie kształcenia realizowane praktyki firmach produkujących rośliny ozdobne biurach projektowych zakładających ogrody pielęgnujących zieleń zarówno kraju granicą kierunek sztuka ogrodowa odpowiednia propozycja osób łączących uzdolnienia ścisłe inżynierskie humanistycznymi artystyczna wizja świata wrażliwość koniecznie miłośników roślin pracy ogrodzie przedmioty obowiązkowe technologia informacyjna gleboznawstwo wybrane zagadnienia chemii rysunek techniczny ochrona zasobów przyrodniczych krajobrazowych geodezja struktury wizualne kompozycjach ogrodowych rysunek odręczny podstawy biznesu botaniczne podstawy sztuki ogrodowej język obcy materiałoznawstwo podstawy uprawy żywienia roślin ogrody owocowe warzywa ogrodach kwiaciarstwo budowa terenów zieleni autocad projektowaniu ogrodów podstawy fizjologii roślin dendrologia fitosocjologia zasady projektowania byliny kompozycjach ogrodowych genetyka hodowla roślin ozdobnych kultura sztuka tradycja regionu szkółkarstwo roślin ozdobnych projektowanie ogrodów przydomowych diagnostyka chorób terenach zieleni diagnostyka szkodników terenach zieleni doniczkowe rośliny ozdobne trawy kompozycjach ogrodowych pielęgnacja terenów zieleni kompozycje sezonowe projektowanie małej architektury ogrodowej dekoracje roślinne praktikum zakresu sztuki ogrodowej ochrona własności intelektualnej terapia biblia kulturze świata historia sztuki ogrody natury techniki ochrony roślin rośliny pokarmowe owadów zapylających podstawy biotechnologii roślin techniki bezglebowej uprawy roślin warunki glebowe mieście żywienie roślin ozdobnych ogrody tymczasowe rośliny cebulowe plener malarski ochrona roślin ozdobnych szkodnikami obiektach zamkniętych ochrona roślin ozdobnych chorobami obiektach zamkniętych uprawa zastosowanie winorośli sady ogrodach historycznych zioła ogrodach warzywa dekoracyjne fizjologia roślin ozdobnych nasionoznawstwo uszlachetnianie nasion mikrobiologia gleby historia roślin ogrodowych logistyka roślin ozdobnych utrwalanie preparowanie roślin ozdobnych socjoogrodnictwo
sztuka ogrodowa i aranżacje roślinne,sztuka ogrodowa aranżacje roślinne studia łączące zagadnienia obszaru ogrodnictwa architektury krajobrazu studia skupiają podkreśleniu piękna roślin uprawnych dziko rosnących otoczeniu człowieka poprzez urządzanie terenów zieleni ogrodów parków dekoracji wnętrz aranżacji wykorzystaniem materiału roślinnego zgodnie potrzebami użytkowymi psychicznymi biologicznymi człowieka absolwenci uzyskują tytuł inżyniera studia miłośników roślin przykładowe przedmioty programie studiów florystyka gleboznawstwo dendrologia geodezja rysunek odręczny rysunek techniczny malarstwo rzeźba
technika rolnicza i leśna,technika rolnicza leśna studia przygotowujące wykonywania zadań inżynierskich ukierunkowanych potrzeby rolnictwa gospodarki żywnościowej leśnej studenci kierunku zdobywają umiejętności zakresie eksploatacji obiektów technicznych nadzorowania procesów systemów produkcyjnych eksploatacyjnych występujących rolnictwie przemyśle spożywczym leśnictwie uczą rozwiązywania podstawowych problemów technicznych oparciu prawa mechaniki analizy wytrzymałościowej wykonywania obliczeń wytrzymałościowych maszyn stosowania materiałów technice rolniczej leśnej celem studiów przekazanie wiedzy temat eksploatacji urządzeń elektrycznych elektronicznych uwarunkowań produkcji roślinnej zwierzęcej leśnej budowy zasad działania pojazdów rolniczych leśnych wybrane specjalności oferowane kierunku technika rolnicza leśna kandydaci mieć łatwość nauki przedmiotów ścisłych zainteresowania obszarze rolnictwa leśnictwa predyspozycje techniczne programie studiów znajdują zagadnienia zakresu konstrukcji maszyn elektrotechniki elektroniki automatyki techniki cieplnej gospodarki energetycznej produkcji rolniczej technologii rolniczych maszynoznawstwa eksploatacji maszyn rolniczych ekonomiki organizacji produkcji rolniczej usług logistyki
technologia biomedyczna,technologia biomedyczna kierunek międzyuczelniany prowadzony sggw współpracy wydziałem chemii uniwersytetu warszawskiego łączy wiedzę różnych dyscyplin kształcenie obejmuje zagadnienia zakresu biologii człowieka poziomie makrostruktury projektowania rozwiązań technologicznych komercjalizacji medycyny programie studiów znajdują przedmioty hodowla komórek tkanek genetyka klasyczna molekularna podstawy nanobiotechnologii studenci poznają aspekty planowania doświadczeń zwierzętach zasady prowadzenia badań zgodnie dobrą praktyką laboratoryjną kandydat kierunek sprawny przedmiotach ścisłych mieć oporów moralnych podjęciem studiów integralną częścią zagadnienia doświadczeń zwierzętach programie studiów znalazły przedmioty chemia ogólna fizyka biofizyka biologia komórki histologia podstawy anatomii człowieka chemia organiczna genetyka klasyczna molekularna fizjologia zwierząt człowieka bioinformatyka mikrobiologia ogólna biochemia medycyna eksperymentalna nanomedycyna
technologia biosurowców i biomateriałów,technologia biosurowbców biomateriałów nowatorskie interdyscyplinarne studia kształcenie pozwala zapoznać technologiami pozyskiwania przetwarzania sposobami oceny jakości biosurowców pochodzenia roślinnego zwierzęcego mikrobiologicznego uwzględnieniem biomateriałów medycyny biosurowców spożywczych farmaceutycznych kosmetycznych energetycznych przemysłu nawozowego drzewnego lekkiego olejarskiego studenci poznają techniki narzędzi stosowane analizie surowców materiałów pochodzenia biogenicznego zasad zarządzania funkcjonowania rozwoju przedsiębiorstw związanych branżą biosurowców biomateriałów inżynierskie studia propozycja kandydatów umysłach ścisłych predyspozycjach techniczny zamiłowaniu pracy laboratoryjnej programie studiów znajdują zasoby naturalne mikrobiologia ogólna grafika inżynierska biomateriały bioanalityka biosurowce kosmetyczne biosurowce farmaceutyczne biosurowce spożywcze
technologia chemiczna,technologia chemiczna dyscyplina łącząca nauki techniczne chemiczne zajmująca metodami przekształcania różnorodnych surowców użyteczne produkty studia dotyczą wytwarzania produktów związanych codziennością nawozów sztucznych tworzyw polimerowych kosmetyków barwników detergentów przetwarzania surowców kopalnych surowców wtórnych projektowania procesów technologicznych aparatury chemicznej studenci poznają surowce materiały stosowane technologii chemicznej surowce poużytkowe metody kontroli procesu skali laboratoryjnej przemysłowej różnorodne materiały nieorganiczne organiczne polimerowe studiów przyszły technolog zapozna obsługą specjalistycznego sprzętu brał czynny udział niezliczonych zajęciach praktycznych profesjonalnych laboratoriach projektował doświadczenia laboratoryjne linie produkcyjne najróżniejszych produktów szeroko omawiane pojęcia zakresu elektrochemii np galwanotechniki elektrochemicznych sposobów magazynowania energii program nauczania składają treści związane przyjaznymi środowisku sposobami postępowania odpadami rozbudowane obliczenia projektowe aparatura urządzenia przemysłowe pomiary technologiczne zagrożenia ryzyka przemyśle chemicznym sposoby zapobiegania wypadkom awariom przykładowe specjalności oferowane kierunku technologia chemiczna zazwyczaj wybierane v semestrze studiów decydując ii stopień studiów studia stacjonarne stopnia trwają semestrów zaś studia niestacjonarne trwają lata semestrów kończą uzyskaniem tytułu zawodowego inżyniera wiesz polimery interesuje inżynieria biomateriałowa chemia organiczna nieorganiczna technologia chemiczna kierunkiem wybrane przedmioty programie studiów chemia ogólna nieorganiczna podstawy elektrochemia podstawy nanotechnologii historia chemii przemysłu chemicznego chemia organicza chemia fizyczna chemia analityczna aparatura przemysłu chemicznego analiza instrumentalna ochrona środowiska korozja degradacja materiałów podstawy technologii chemicznej inżynieria chemiczna spektroskopia metody analizy związków organicznych podstawy technologii polimerów podstawy technologii radiacyjnych podstawy technologii barwników środków chemii gospodarczej automatyka pomiar wielkości fizykochemicznych chemia ciała stałego fotochemia polimery odnawialnych surowców eksploatacja bezpieczeństwo procesowe biotechnologia metody kontroli procesów technologicznych
technologia drewna,technologia drewna kierunek łączący naukę drewnie technologii wyrobach drewnianych studenci kierunku zdobywają wiedzę zakresu nauk drewnie technologii drewna wyrobów drewna ekonomiki organizacji drzewnictwa kształceni kątem udziału projektowaniu realizacji procesów technologicznych mechanicznej obróbki drewna tworzyw drewnopochodnych chemicznego przetwórstwa drewna konstrukcji technologii mebli wyrobów drewna przygotowywani wykonywania prac wspomagających projektowanie maszyn koordynacji prac zespołu oceny wyników pracy zespołu sprawnego posługiwania technikami komputerowymi specjalności oferowane kierunku studiów kierunek technologia drewna idealny osób chcących pracować branży drzewnej kandydat radzić przedmiotami ścisłymi informatycznymi trakcie nauki studenci zmagają takimi przedmiotami nauka drewnie metrologia techniczna zapis konstrukcji struktura drewna chemia drewna fizyka drewna elektrotechnika elektronika ochrona środowiska chemia stosowana drzewnictwie kleje klejenie drewna podstawy produkcji pierwiastkowy przerób drewna biodegradacja drewna mechanika techniczna uszlachetnianie powierzchni drewna tworzywa drzewne automatyka podstawy modyfikacji drewna technika cieplna wtórny przerób drewna narzędzia obrabiarki podstawowe obróbka cięciem narzędzia ochrona konserwacja drewna stolarstwo meblowe zarys meblarstwa konstrukcji drewnianych
technologia i organizacja gastronomii,kierunek studiów technologia organizacja gastronomii celu nowoczesne kształcenie ekspertów dziedzinie usług gastronomicznych studenci zdobywają wiedzę zakresu towaroznawstwa technologii bezpieczeństwa żywności żywienia człowieka dietetyki poznają podstawy produkcji surowców rolno spożywczych zależności wybranymi zjawiskami przyrodniczymi społecznymi związane podstawy przemysłowej produkcji żywności zastosowaniem różnych metod technologicznych biotechnologii żywności teorie wyjaśniające zjawiska procesy zachodzące pozyskiwania przetwarzania różnych rodzajów żywności zdobywają wiedzę temat podstawowych uwarunkowań prawnych ekonomicznych różnych działań związanych produkcją dystrybucją żywności dowiesz zasadach standardach prowadzenia działalności gospodarczej metodach sposobach rozwoju przedsiębiorstwa zasadach prawa autorskiego ochrony własności przemysłowej poznają procesy produkcyjne urządzenia maszyny obiekty systemy techniczne stosowane produkcji gastronomicznej rozwiązania organizacyjne projektowe dziedzinie technologii gastronomii żywienia zbiorowego kształcenie obejmuje system studiowania zakładający równoczesne zdobywanie wiedzy teoretycznej poziomie akademickim uczelni doświadczenia praktycznego zakresie technologii organizacji gastronomii tog staży przedsiębiorców branży hotelarskiej restauracyjnej cateringowej kierunek osób swoją przyszłość zawodową planują związać sektorem horeca przykładowe przedmioty programie studiów mikrobiologia ogólna żywności chemia żywności podstawy analizy żywności wyposażenie zakładów gastronomicznych podstawy fizjologii człowieka technologia przetwórstwa surowców roślinnych żywienie człowieka technologia gastronomii higiena toksykologia żywności technologia surowców pochodzenia zwierzęcego prawo żywnościowe podstawy dietetyki żywienie osób chorych podstawy hotelarstwa marketing obsługa konsumenta usługi turystyczne rekreacyjne alergeny pokarmowe behawioralne uwarunkowania żywienia
technologia kosmetyku,studia kierunku technologia kosmetyku propozycja kształcenia ii stopnia kończąca uzyskaniem tytułu magistra celem kształcenia pozyskanie wysoko wykwalifikowanych specjalistów dzięki szerokiej wiedzy interdyscyplinarnej szczególnym uwzględnieniem wiedzy zakresu nauk chemicznych inżynierii chemicznej nauk zarządzaniu jakości konkurencyjną ważne pożądaną poszukiwaną kadrą zarówna lokalnym krajowym europejskim rynku pracy program zajęć kładzie nacisk uzyskanie absolwenta wiedzy teoretycznej umiejętności praktycznych zakresie procesu wytwarzania produktów kosmetycznych oddziaływania człowieka środowisko przyrodnicze proces edukacyjny zapewnia absolwentowi zdobycie wiedzy składzie zastosowaniach produkcji badaniach ocenie jakości specjalistycznej grupy produktów należą wyroby kosmetyczne studenci możliwość poznania aspektów współczesnych technologii produkcji wyrobów kosmetycznych przemyśle kosmetycznym kompetencji należeć efektywne zarządzanie poszczególnymi etapami procesu produkcji zachowaniem najwyższych standardów jakości ekonomiki proponowanych rozwiązań ukończeniu studiów absolwent przygotowany realizacji następujących działań takich propozycja osób swoja przyszłość zawodową widzą branży produkcyjnej kosmetycznej badawczej studenci kierunku zyskają kompetencje zakresie sterowanie jakością laboratoryjną kontrolą jakości produkcji organizacją produkcji zakresie zarządzania jakością opakowalnictwo transport magazynowanie wyrobów ocena optymalizacja produktów ocena bezpieczeństwa stosowania produktów ocena zgodności prawem procesów produkcyjnych dystrybucyjnych współpracy opracowaniu strategii marketingowych realizacji
technologia kosmetyków,studenci kierunku technologia kosmetyków zdobędą specjalistyczną wiedzę technologii pozyskiwania naturalnych surowców kosmetycznych recepturowania prawidłowego przetwórstwa produkcji szerokiej gamy kosmetyków obejmują wiedzę składzie zastosowaniach produkcji badaniach ocenie jakości specyficznej grupy produktów należą kosmetyki kompetencji należeć efektywne zarządzanie poszczególnymi etapami procesu produkcji wdrażanie produktów rynek jednocześnie wykorzystując wiedzę dotyczącą wymagań jakościowych regulacji prawnych studia realizowane poziomie drugiego stopnia osoba chcąca studiować technologię kosmetyków mieć zamiłowanie przedmiotów takich chemia biologia słabość kosmetyków wybrane przedmioty kierunku technologia kosmetyczna aparatura przemyśle kosmetycznym surowce kosmetyczne analiza surowców kosmetycznych kosmetyków naturalne kosmetyki certyfikowane immunologia alergologia fizykochemia form kosmetycznych produkty zapachowe podstawy perfumerii regulacje prawne obrotu kosmetykami biofilmy bakteryjne przemyśle kosmetycznym promieniowanie słoneczne zalety zagrożenia zapobieganie grzyby wielkoowocnikowe kosmetykach biotechnologii olejki eteryczne rośliny ekstrakty kosmetyce historia kosmetyki kosmetyki kolorowe projektowanie produktu kosmetycznego mikrobiologia kosmetyków
technologia roślin leczniczych i prozdrowotnych,technologia roślin leczniczych prozdrowotnych kierunek obszaru nauk rolniczych studenci uczą wykorzystywać potencjał roślin zielarskich przyprawowych ogrodniczych rolniczych kosmetycznych znaczeniu leczniczym prozdrowotnym celu poprawy jakości życia człowieka poznają uwarunkowania prowadzenia produkcji roślin leczniczych opartej nowoczesnych bezpiecznych środowiska technologiach planują dobierają modyfikują technologie techniki celu uzyskania surowca produktu roślinnego odpowiadającego wymaganiom rynkowym uzyskują zaawansowaną wiedzę umiejętność wykorzystania nowoczesnych metod analitycznych oceny jakości surowców roślinnych kontroli bezpieczeństwa etapach produkcji przechowywania przetwarzania wprowadzania rynek studia kierowane kandydatów zainteresowanych wykorzystaniem produktów naturalnych produkcji leków kosmetyków produktów spożywczych przykładowe przedmioty programie kształcenia kultura sztuka tradycja regionu chemia ogólna elementami chemii fizycznej biofizyki biologia komórki mikrobiologia podstawy botaniki zarys systematyki roślin leczniczych chemia organiczna biochemią genetyka genomika roślin podstawy racjonalnego żywienia fizjologia roślin surowce lecznicze prozdrowotne rośliny lecznicze prozdrowotne dietetyce żywność funkcjonalna suplementy diety nasiennictwo roślin leczniczych prozdrowotnych gleboznawstwo naturalne zasoby roślin leczniczych ocena jakości surowców preparatów roślinnych technologie uprawy roślin leczniczych prozdrowotnych podstawy uprawy roli żywienia roślin leczniczych utrwalanie uszlachetnianie logistyka surowców leczniczych roślinne kultury in vitro inżynieria genetyczna roślin ekologia ochrona środowiska choroby szkodniki ochrona roślin leczniczych ogrodnictwo terapeutyczne konwencjonalna molekularna hodowla roślin ochrona własności intelektualnej ekonomika organizacja przedsiębiorstwa marketing produktów ziołowych
technologia żywności i żywienie człowieka,technologia żywności żywienie człowieka studia zakresu chemii żywności nauk technicznych technologicznych żywieniowych ekonomicznych kształcenie kierunku obejmuje zagadnienia zakresu absolwenci przygotowywani zarządzania produkcją jakością bezpieczeństwem żywności uzyskują umiejętności związane kontrolą jakości żywności łańcuchu żywnościowym żywieniem ludzi placówkach gastronomicznych potrafią przeprowadzać kalkulację ekonomiczną znają zasady funkcjonowania rynku rozumieją zasady marketingu produktów usług związanych żywnością żywieniem człowieka przykładowe specjalności oferowane kierunku studiów kandydaci studia wykazywać zainteresowanie naukami biologicznymi technologią zagadnieniami związanymi produkcją żywności oceną jakości programie studiów przewidziane przedmioty mikrobiologia ogólna polska żywność tradycyjna surowce żywnościowe różnych regionów świata podstawy dietetyki klasyczna analiza chemiczna analiza żywności mikrobiologia żywności koloidy żywności aparatura przemysłu spożywczego higiena produkcji żywności inżynieria procesowa automatyzacja elektrotechnika przemyśle spożywczym ocena jakości żywności prawo żywnościowe technologia przetwórstwa mięsa technologia mleczarstwa technologia węglowodanów technologia przetwórstwa owoców warzyw technologie gastronomiczne
technologie energetyki odnawialnej,technologie odnawialnej kierunek łączący dyscyplin zagadnienia związane energetyką ekologią inżynierią środowiska studenci zdobywają gruntowną wiedzę zakresu nauk rozszerzoną zagadnienia dotyczące energetyki poznają zasady rozwiązywania problemów związanych racjonalnym wdrażaniem technologii energii odnawialnej planowania projektowania rozwoju terenowej gospodarki energetycznej uzyskują wiedzę zakresu produkcji przetwarzania energii źródeł odnawialnych eksploatacji urządzeń wykorzystujących biorąc uwagę intensywny rozwój rynku odnawialnych źródeł energii rosnące zapotrzebowanie specjalistów dziedziny polsce krajach unii europejskiej świecie stwierdzić specjalista zakresie technologii energetyki odnawialnej pewnością zawodem przyszłości wiedza zdobyta studiach umożliwia ubieganie uprawnienia zakresie wykonywania audytów energetycznych studia kierunku technologie energetyki odnawialnej propozycją kształcenia osób twórczych umyśle ścisłym analitycznym logicznie myślących otwartych nowoczesne przyszłościowe technologie przydatna studiów zdolność koncentracji abstrakcyjnego myślenia dokładność systematyczność wyobraźnia przestrzenna dynamika działania chęć umiejętność ciągłego doskonalenia dostosowywania nowych wyzwań wśród przedmiotów kształcenia znajdują analiza matematyczna algebra liniowa informatyka geometria grafika inżynierska fizyka wytwarzanie energii elektrycznej układy konwersji energii energetyka prosumencka ep systemy pomiar owe ep odnawialne źródła energii oze audyt energetyczny bezpieczne użytkowanie urządzeń elektrycznych automatyka zabezpieczeniowa gospodarka elektroenergetyczna przesyłanie energii elektrycznej podstawy techniki cyfrowej mikroprocesorowej systemy elektroenergetyczne rynek energii jakość energii elektrycznej niezawodność energetyce zarządzanie bezpieczeństwem energetyce prawo energetyczne polityka energetyczna rachunek ekonomiczny zarządzanie energią zarządzanie przedsiębiorstwie energetycznym urządzenia elektryczne zakłócenia układach elektroenergetycznych współpraca oze systemem energetycznym gospodarka skojarzona wizualizacja modelowanie procesów elektroenergetyce internetowy monitoring wdrażanie innowacji technologii oze technologie nanomateriałowe nowoczesne materiały technologiach oze inżynieria wysokonapięciowa ochrona przepięciowa odgromowa
technologie ochrony środowiska,technologie ochrony środowiska interdyscyplinarny kierunek dzięki któremu studenci zdobywają wiedzę teoretyczną zakresu nauk chemicznych przyrodniczych technicznych zapoznają praktycznym zastosowaniem rozwiązań technologicznych zajęciach realizowanych politechnikach szeroko omawiane zagadnienia zakresu nauk nauk środowisku wyjaśniane aspekty prawne dotyczące ochrony środowiska dzięki studiom kierunku słuchacze poznają problemy wyzwania stawia rozwój nauki zmiany dokonujące przyrodzie wpływem działalności człowieka rozumieli analizowali procesy zachodzące przyrodzie zdobędą umiejętność prowadzenia prac laboratoryjnych zapoznają podstawowymi procesami technologicznymi szczególności przyjaznymi środowisku ramach kierunku prowadzone studia stacjonarne semestrów semestry stopnia przykładowe specjalności oferowane kierunku technologie ochrony środowiska zazwyczaj wybierane v semestrze studiów oferowane studiach drugiego stopnia jesteś osobą troszczy środowisko naturalne obojętna przyszłość naszej planety studiowanie kierunku technologii ochrony środowiska idealne oprócz przedmiotów stricte politechnicznych chemicznych trakcie nauki studenci zmagają takimi przedmiotami wstęp ekologii podstawy inżynierii produktu zarządzania jakością geochemia bioekonomia biotechnologiczne techniki odnowy środowiska prawne aspekty ochrony środowiska zagrożenia cywilizacyjne zrównoważony rozwój mikrobiologia recykling tworzyw polimerowych podstawy gospodarki monitoring środowiska paliwa alternatywne odpadów wybrane technologie konwersji biomasy systemy ochrony powietrza technologie uciążliwe odpady przemysłowe recykling toksykologia ochrona środowiska procesie inwestycyjnym
towaroznawstwo,towaroznawstwo nauka zajmująca badaniem oceną właściwości towarów czynników wpływających jakość kandydat studia interesować naukami matematycznymi ekonomicznymi biologicznymi uwzględnieniem tematyki studenci zdobywają wiedzę zakresu towaroznawstwa opakowalnictwa przechowalnictwa fizyki chemii mikrobiologii biochemii mikroekonomii zarządzania zarządzania jakością oceny jakości produktów otrzymują kwalifikacje pracy projektowaniem ochroną kontrolą jakości opracowaniem standardów atestacją wyrobów przykładowe specjalności oferowane kierunku studiów studia osób interesują naukami ekonomicznymi wybrane przedmioty programie studiów prawne aspekty jakości analiza ryzyka systemach zarządzania inżynieria systemów jakości logistyka jakość psychospołeczne aspekty jakości doskonalenie integracja systemów zarządzania jakością wzornictwo opakowań zarządzanie marką opracowanie nowych produktów spożywczych kształtowanie jakości produktów nieżywnościowych
towaroznawstwo w biogospodarce,biogospodarka termin zyskujący ostatnich latach znaczeniu wzrasta zapotrzebowanie rozwój nauki nowe kadry zajmujące procesami zachodzącymi biogospodarce absolwenci towaroznawstwa biogospodarce posiadają wiedzę zakresu nauk rolniczych leśnych weterynaryjnych umieją badać oceniać właściwości użytkowe produktów biogospodarki drewno płody rolne pochodzenia roślinnego zwierzęcego żywność czynników determinujących jakość studia odpowiednie osób radzących przedmiotami ścisłymi potrafiących odnaleźć zarówno biologii tematach ekonomicznych programie studiów znajdują podstawy zarządzania grafika inżynierska podstawy marketingu materiałoznawstwo inżynieria materiałowa
turystyka przyrodnicza,studia kierunku turystyka przyrodnicza dają wiedzę zakresu ekoturystyki turystyki kulinarnej aspektów wiedzy należących szeroko pojętej turystyki poznawczej dzięki studiom turystyce przyrodniczej poznasz różnorodne kultury ludzi historię tradycje regiony jakich mieszkają ponadto będziesz stanie zarządzać środowiskiem naturalnym stało ciekawą atrakcją turystyczną jednoczesnym zachowaniem naturalnych walorów uchronieniem zniszczeniami eksploatacją studia skierowane osób cenią przyrodę chcą uchronić często szkodliwymi działaniami człowieka kierunek turystyka przyrodnicza dedykowany osobom ciekawym świata posiadającym zmysł organizacyjny wyobraźnię przestrzenną przykładowe przedmioty programie studiów ekoturystyka protokół dyplomatyczny zielone przedsiębiorstwa turystyczne geobotanika marketing turystyce funkcja turystycznych obszarów chronionych socjologia czasu wolnego regiony turystyczne komunikacja biznesie bioróżnorodność
uprawa winorośli i winiarstwo,studia inżynierskie kierunku uprawa winorośli winiarstwo pozwolą zdobyć gruntowną wiedzę umiejętności zakresu uprawy winorośli technologii produkcji winiarskiej analizy oceny klasyfikacji win organizacji pracy winnicy winiarni studenci kierunku posiądą wiedzę zakresu podstaw prawa odniesieniu działalności gospodarczej związanej przemysłem fermentacyjnym poznają metody analizy ekonomicznej zasady funkcjonowania rynku winiarskiego założeniu studia kierunku uprawa winorośli winiarstwo przygotować absolwenta samodzielnego projektowania prowadzenia winnicy upraw sadowniczych przemysłu fermentacyjnego planowania infrastruktury winiarskiej prowadzenia winiarni podejmowania pracy przemyśle fermentacyjnym administracji usługach handlu doradztwie związanym branżą winiarską enoturystyczną produkcja wina sztuka wymagająca dobrego przygotowania doświadczenia kreatywności szeroko pojęte winiarstwo polsce perspektywiczny rynek pracy istnieje pewnie wzrastać zapotrzebowanie fachowców związanych produkcją przetwórstwem winogron studia kierunku uprawa winorośli winiarstwo polecane osobom pasją zafascynowanym zarówno pracą roślinami produkcją wyrobów winnych zamiłowanie roślin chęć zgłębiania nauk przyrodniczych cierpliwość powinny iść parze predyspozycjami biznesowymi program studiów kierunku uprawa winorośli winiarstwo obejmuje przedmioty ampelografia analiza instrumentalna sensoryczna win chemia wina diagnostyka chorób fizjologicznych roślin enoturystyka entomologia stosowana fitopatologia fizjologia roślin funkcje muraw technologie zakładania historia regiony produkcji wina hodowla roślin hortiterapia integrowana ekologiczna uprawa winorośli roślin ogrodniczych inżynieria bioreaktorowa przemyśle winiarskim mechanizacja prac winnicy metaboliczne strategie przetrwania roślin mikrobiologia wina technologie fermentacyjne nawadnianie winnic sadów jagodników obrót dystrybucja produktów winiarskich owoce warzywa egzotyczne owoce leśne rośliny przyprawowe podstawy produkcji ogrodniczej projektowanie upraw ogrodniczych projektowanie winnic winiarni sommelierstwo szkółkarstwo winorośli roślin ogrodniczych technologia produkcji wina uprawa winorośli wina ziołowe specjalne
veterinary medicine,veterinary medicine weterynaria realizowana języku angielskim pierwszy etap studiów stanowi teoretyczne przygotowane dziedzinie nauk weterynaryjnych kolejne lata szkolenie praktyczne studia przygotowują zawodu lekarza weterynarii absolwenci uzyskują uprawnienia niezbędne otrzymania prawa wykonywania zawodu lekarza weterynarii nadawanego okręgowe izby lekarsko weterynaryjne ukończeniu cyklu studiów rozpocząć kształcenie specjalizacyjne zajęcia prowadzone formie wykładów ćwiczeń laboratoryjnych klinicznych stacjonarnych wyjazdowych kandydatów oczekuje wyjątkowej wrażliwości cierpliwości przyszłości pracować pacjentami powiedzą swoich dolegliwościach obawach wybór studiów wymaga ogromnej sympatii zwierząt umiejętności komunikowania wybrane przedmioty programie studiów animal anatomy biochemistry histology and embryology animal physiology veterinary microbiology pathophysiology veterinary pharmacology diseases of farm animals diseases of dogs and cats diseases of horses veterinary toxicology slaughter animals and meat hygiene andrology and artificial insemination
zaawansowane materiały i nanotechnologia,studia kierunku zaawansowane materiały nanotechnologia stanowią połączenie zagadnień fizyki wybranych zagadnień chemii najefektywniej zgłębiać wiedzę zaawansowanych materiałach studenci zdobywają najpierw wiedzę ogólną zakresie podstaw fizyki chemii matematyki następnie wiedza zostaje poszerzona zaawansowanych kursach teoretycznych rozbudowana praktyczne zajęcia odbywające nowoczesnych laboratoriach studia stopnia stanowią bazę kontynuowania nauki studiach ii stopnia studenci wybrać jedną proponowanych ścieżek studenci zostają wyposażeni interdyscyplinarne wykształcenie ogólne zakresie nauki materiałach technologii wytwarzania nowoczesnych materiałów zaawansowane przygotowanie zawodowe ramach obranej ścieżki zawodowej studia kierunku zaawansowane materiały nanotechnologia adresowane osób interesujących naukami ścisłymi chemią fizyką matematyką kierunek pasjonatów nowoczesnych technologii związanych wytwarzaniem nanomateriałów tworzyw zawierających nanocząstki programie studiów znajdziemy przedmioty chemia nieorganiczna chemia nieorganiczna ćwiczenia rachunkowe oprogramowanie użytkowe nauk ścisłych przyrodniczych chemia fizyczna chemia ciała stałego matematyczne metody krystalografia rentgenografia chemia organiczna elementami biochemii polimery naturalne syntetyczne komputerowe modelowanie materiałów nanotechnologia fotonika mikroelektromechanika biomateriały nanomateriały zastosowanie nanotechnologii przemyśle biologii medycynie
